fdat,FR0,FR1,FR2,FR3,FR4
1981-10-01,,,,,
1982-01-01,-2.7777777777777772,-2.3333333333333335,-1.5333333333333332,-1.2833333333333334,-1.9000000000000001
1982-04-01,-2.6571428571428575,-2.7666666666666666,-1.0333333333333334,-0.6523809523809524,-0.8380952380952381
1982-07-01,2.166666666666666,2.1722222222222225,0.38333333333333325,0.3666666666666665,0.6444444444444444
1982-10-01,-0.22000000000000014,-1.5999999999999999,-0.9049999999999997,-0.45,-0.41500000000000004
1983-01-01,-2.43125,-2.6437500000000003,-1.3812499999999999,-1.00625,-0.8562500000000002
1983-04-01,-2.768181818181818,-0.4454545454545455,-0.054545454545454605,-0.022727272727272638,-0.17727272727272736
1983-07-01,0.24444444444444458,-0.30000000000000004,-0.11111111111111106,-0.1611111111111111,-0.12222222222222226
1983-10-01,-0.00999999999999992,0.05499999999999994,0.07999999999999996,-0.1,-0.075
1984-01-01,-1.06,-0.7333333333333331,-0.3133333333333333,-0.09333333333333335,-0.3266666666666667
1984-04-01,0.388888888888889,-0.022222222222222292,-0.04444444444444443,0.23333333333333353,0.4111111111111112
1984-07-01,-0.7166666666666666,-1.2166666666666663,-0.7722222222222223,-0.5833333333333334,-0.5833333333333334
1984-10-01,-0.07692307692307689,-0.7538461538461539,-0.7923076923076923,-0.9384615384615386,-0.8461538461538461
1985-01-01,-0.7846153846153846,-0.9846153846153847,-0.7,-0.6307692307692307,-0.6615384615384615
1985-04-01,-0.19999999999999993,0.32000000000000006,0.05333333333333332,-0.006666666666666584,-0.07999999999999992
1985-07-01,0.012500000000000094,-0.7187499999999998,-0.45624999999999993,-0.26249999999999996,-0.17499999999999996
1985-10-01,-0.8578947368421052,-0.6105263157894737,-0.6157894736842104,-0.5947368421052632,-0.4421052631578948
1986-01-01,0.794736842105263,-0.531578947368421,-0.6736842105263158,-0.4736842105263159,-0.26842105263157895
1986-04-01,-1.4400000000000002,-3.3400000000000003,-1.06,-0.6400000000000001,-0.6066666666666668
1986-07-01,0.02142857142857137,0.32857142857142857,-0.21428571428571422,-0.42142857142857154,-0.2
1986-10-01,-0.014285714285714204,-0.09285714285714278,-0.06428571428571425,-0.07142857142857142,-0.04999999999999998
1987-01-01,-0.26923076923076933,0.25384615384615394,0.2153846153846154,0.21538461538461545,0.22307692307692314
1987-04-01,1.15,0.7777777777777779,0.47777777777777786,0.3555555555555555,0.3722222222222222
1987-07-01,0.4222222222222224,-0.03333333333333336,0.06111111111111109,0.2222222222222222,0.19444444444444448
1987-10-01,-0.20833333333333334,-0.3,-0.325,-0.4666666666666666,-0.43333333333333335
1988-01-01,-0.58,-0.4699999999999999,-0.05999999999999996,4.4408920985006264e-17,0.039999999999999994
1988-04-01,-0.8857142857142856,0.00714285714285715,0.22857142857142865,0.25000000000000006,0.20714285714285716
1988-07-01,0.2846153846153846,0.32307692307692304,0.4615384615384617,0.2846153846153846,0.3153846153846154
1988-10-01,0.2818181818181817,-0.0727272727272728,-0.08181818181818185,-0.09999999999999996,-0.10000000000000005
1989-01-01,-0.6600000000000001,-0.32,-0.13999999999999996,-0.040000000000000126,-0.039999999999999855
1989-04-01,0.5900000000000001,0.9400000000000002,0.19000000000000022,0.1,-0.10000000000000009
1989-07-01,0.11111111111111122,-1.4444444444444446,-1.2000000000000002,-1.088888888888889,-0.9777777777777779
1989-10-01,-1.3181818181818183,-0.3454545454545454,-0.30000000000000004,-0.24545454545454548,-0.29090909090909084
1990-01-01,-0.175,0.55,0.125,0.13749999999999996,0.26250000000000007
1990-04-01,1.7233333333333334,-0.7849999999999998,-0.3066666666666666,-0.07666666666666666,0.20166666666666658
1990-07-01,-0.30000000000000016,1.2828571428571425,0.5328571428571428,0.6157142857142857,-0.4128571428571428
1990-10-01,0.8400000000000001,3.2310000000000003,0.889,0.3980000000000001,0.1609999999999998
1991-01-01,-0.8547368421052627,-1.5410526315789475,-0.826315789473684,-0.2526315789473685,-0.14421052631578943
1991-04-01,-0.3203846153846154,-0.24115384615384616,0.026153846153846142,0.039230769230769215,0.09423076923076924
1991-07-01,-0.6315999999999999,-0.3767999999999999,-0.11599999999999994,-0.06519999999999998,-0.040399999999999894
1991-10-01,-0.2973333333333333,-0.3276666666666666,-0.4003333333333334,-0.2733333333333334,-0.18766666666666662
1992-01-01,-0.06562499999999982,-0.44843750000000004,-0.37031250000000004,-0.31562499999999993,-0.22812500000000008
1992-04-01,0.2888888888888888,0.05185185185185185,-0.11851851851851851,0.003703703703703674,0.13333333333333333
1992-07-01,-0.4038461538461541,-0.2546153846153846,-0.32499999999999996,-0.4126923076923076,-0.5476923076923076
1992-10-01,-0.42812499999999987,-0.06562499999999999,-0.06250000000000004,-0.065625,-0.04062499999999998
1993-01-01,-0.21785714285714297,-0.2035714285714286,-0.20714285714285716,-0.10357142857142847,-0.19285714285714278
1993-04-01,0.8818181818181816,0.1454545454545456,-0.031818181818181863,0.05909090909090904,0.09045454545454552
1993-07-01,-1.045833333333333,-0.6108333333333335,-0.036666666666666625,-0.16750000000000007,-0.1695833333333334
1993-10-01,-1.3350000000000002,-0.23124999999999996,-0.1620833333333332,-0.32958333333333334,-0.37625000000000003
1994-01-01,-0.15318181818181825,-0.13818181818181824,-0.06681818181818179,0.09090909090909093,0.019090909090909117
1994-04-01,-0.8179999999999998,0.21,0.13200000000000003,0.23200000000000004,0.16599999999999998
1994-07-01,-0.36250000000000027,0.016666666666666653,-0.02708333333333331,-0.08541666666666665,-0.11666666666666675
1994-10-01,0.39500000000000013,-0.13000000000000003,0.04999999999999995,0.039999999999999994,-4.4408920985006264e-17
1995-01-01,-0.9894736842105265,-0.23157894736842108,-0.16315789473684209,-0.04473684210526314,0.007894736842105189
1995-04-01,-0.13636363636363627,0.08227272727272728,0.029999999999999926,-0.02772727272727268,0.05227272727272725
1995-07-01,-0.08756097560975618,-0.531951219512195,-0.2985365853658537,-0.2902439024390244,-0.2804878048780488
1995-10-01,-0.9076923076923078,-0.623076923076923,-0.3641025641025641,-0.4025641025641024,-0.3771794871794872
1996-01-01,-0.6448275862068965,-0.08862068965517249,-0.2110344827586207,-0.16241379310344825,-0.2003448275862068
1996-04-01,0.3373076923076926,0.7834615384615385,0.04269230769230769,-0.03423076923076921,0.09846153846153839
1996-07-01,0.28064516129032246,-0.07096774193548387,0.11290322580645155,0.19677419354838704,0.1483870967741935
1996-10-01,-0.407586206896552,-0.043448275862068945,-0.07310344827586207,-0.17724137931034478,-0.2072413793103448
1997-01-01,0.35925925925925944,-0.09259259259259264,-0.13333333333333333,-0.018518518518518486,0.003703703703703773
1997-04-01,-0.588888888888889,-0.5014814814814815,-0.12333333333333334,-0.05888888888888895,-0.07111111111111114
1997-07-01,-1.408965517241379,-0.7186206896551725,-0.2686206896551724,-0.36689655172413793,-0.19620689655172405
1997-10-01,-0.18321428571428575,-0.2553571428571429,-0.1682142857142857,-0.24607142857142858,-0.15357142857142864
1998-01-01,-0.37999999999999984,-0.8076923076923077,-0.5746153846153845,-0.4946153846153847,-0.38384615384615384
1998-04-01,-1.2294444444444446,-0.461111111111111,0.024444444444444394,0.061111111111111054,-0.044444444444444446
1998-07-01,0.41571428571428576,-0.16142857142857142,0.09952380952380951,0.03428571428571431,0.029999999999999985
1998-10-01,-0.2736363636363635,-0.365909090909091,-0.32772727272727287,-0.2813636363636363,-0.24681818181818171
1999-01-01,-0.03782608695652182,-0.17391304347826086,-0.1652173913043478,-0.056521739130434755,-0.026086956521739164
1999-04-01,-0.4247619047619048,0.8666666666666666,0.041904761904761875,-0.03333333333333329,-0.06190476190476195
1999-07-01,0.9546428571428571,0.12571428571428575,0.1267857142857143,0.12142857142857141,0.1214285714285714
1999-10-01,0.30250000000000005,0.14142857142857143,0.0632142857142857,0.006785714285714299,0.02000000000000001
2000-01-01,0.31249999999999994,0.13958333333333336,0.18541666666666665,0.11041666666666666,0.002083333333333326
2000-04-01,1.4125,0.9450000000000001,0.16499999999999998,0.1625,0.36000000000000004
2000-07-01,0.3033333333333334,0.38238095238095243,0.1776190476190476,0.026190476190476215,-0.1547619047619047
2000-10-01,0.22916666666666674,0.325,0.07083333333333332,0.03333333333333332,-0.008333333333333312
2001-01-01,-0.43999999999999984,-0.228,-0.20799999999999996,-0.10400000000000002,-1.7763568394002505e-17
2001-04-01,1.6576923076923076,0.5384615384615384,5.124106267500723e-17,-0.0846153846153846,0.02307692307692308
2001-07-01,0.22083333333333344,-0.25000000000000017,0.041666666666666664,-0.01250000000000002,0.15833333333333335
2001-10-01,-1.5739130434782609,-1.0391304347826082,-0.6173913043478262,-0.6304347826086958,-0.47391304347826096
2002-01-01,-1.9,-0.6095238095238095,0.04047619047619054,0.023809523809523808,0.03809523809523802
2002-04-01,-0.0009333333333333934,0.9533333333333331,0.05003333333333336,-0.11429999999999992,0.00936666666666667
2002-07-01,0.3826206896551724,-0.04800000000000003,-0.07334482758620692,-0.12655172413793106,-0.13503448275862068
2002-10-01,-0.3346153846153848,-2.5620531337503614e-17,-0.14807692307692305,-0.24846153846153843,-0.1538461538461538
2003-01-01,0.21785714285714278,0.3082142857142859,-0.1557142857142857,-0.2696428571428572,0.07107142857142858
2003-04-01,1.476551724137931,-0.17862068965517242,-0.31206896551724134,-0.2789655172413793,-0.15068965517241378
2003-07-01,-1.418181818181818,-0.1922727272727273,-0.45500000000000007,-0.2513636363636364,-0.2640909090909091
