fdat,CPI1,CPI2,CPI3,CPI4,CPI5,CPI6
1981-10-01,10.73157894736842,8.952500000000002,7.758974358974358,7.556410256410256,7.710256410256411,7.925641025641025
1982-01-01,6.364516129032259,5.50625,6.078125000000001,6.5687500000000005,6.375,6.482142857142857
1982-04-01,3.5382352941176465,3.691666666666667,5.768571428571429,5.866666666666667,5.8694444444444445,5.544444444444444
1982-07-01,5.3342857142857145,7.116216216216216,5.397297297297298,5.7,5.675675675675675,5.949999999999999
1982-10-01,7.279310344827587,3.967741935483871,5.283870967741937,5.529032258064517,5.538709677419355,5.674193548387096
1983-01-01,1.7205882352941178,2.5628571428571427,3.857142857142858,4.1485714285714295,4.385714285714286,4.235483870967743
1983-04-01,-0.24857142857142855,3.6628571428571424,4.171428571428572,4.414285714285715,4.551515151515151,4.48235294117647
1983-07-01,3.8249999999999997,4.013793103448276,4.4,4.172413793103448,4.286206896551724,4.4172413793103456
1983-10-01,4.416129032258064,4.825806451612904,4.758064516129032,4.764516129032258,4.97741935483871,5.174193548387097
1984-01-01,3.855172413793103,3.7999999999999994,3.9933333333333336,4.41,4.503333333333333,4.478571428571429
1984-04-01,4.254838709677419,4.275,4.643749999999999,4.9781249999999995,5.128125000000002,5.296875
1984-07-01,3.704,3.6769230769230767,4.476923076923077,5.003846153846154,5.276923076923078,5.465384615384616
1984-10-01,3.7999999999999994,3.9800000000000013,4.248,4.2625,4.627999999999999,4.868
1985-01-01,3.2416666666666667,3.2416666666666667,3.608333333333333,3.8791666666666664,4.166666666666667,4.418181818181818
1985-04-01,3.1959999999999997,4.040000000000001,4.032,4.244,4.541666666666667,4.645833333333333
1985-07-01,4.062068965517241,3.524137931034483,3.93103448275862,4.296551724137931,4.531034482758621,4.667857142857143
1985-10-01,2.569565217391304,3.1739130434782608,3.5652173913043477,3.7260869565217387,3.9086956521739133,4.108695652173914
1986-01-01,3.879166666666666,3.0875,3.1291666666666664,3.4583333333333326,3.795833333333333,4.15
1986-04-01,1.1555555555555557,-0.2166666666666667,2.2037037037037037,3.244444444444444,3.688888888888889,3.7423076923076923
1986-07-01,-0.5695652173913044,2.778260869565217,3.4227272727272733,3.2782608695652176,3.3434782608695657,3.5304347826086953
1986-10-01,2.73,3.04,3.2900000000000005,3.495,3.725,3.8950000000000005
1987-01-01,2.519999999999999,3.342857142857143,3.4952380952380957,3.6904761904761907,3.8095238095238093,3.7449999999999997
1987-04-01,4.642857142857143,4.346428571428571,4.253571428571428,4.292857142857143,4.3428571428571425,4.407142857142857
1987-07-01,4.7,4.2285714285714295,4.376190476190477,4.595238095238094,4.647619047619047,4.67
1987-10-01,4.041176470588235,4.141176470588236,4.294117647058824,4.123529411764706,4.2823529411764705,4.525
1988-01-01,3.566666666666667,3.9666666666666663,4.144444444444444,4.277777777777778,4.3277777777777775,4.711111111111111
1988-04-01,3.2176470588235295,4.255555555555556,4.427777777777777,4.566666666666666,4.766666666666667,4.783333333333334
1988-07-01,4.652941176470587,4.7176470588235295,4.8999999999999995,5.08235294117647,5.123529411764706,5.03529411764706
1988-10-01,5.021428571428571,4.957142857142856,4.95,4.942857142857143,4.928571428571429,5.042857142857144
1989-01-01,4.268749999999999,4.65625,4.89375,5.012499999999999,5.025,5.053333333333333
1989-04-01,5.142857142857143,5.828571428571428,5.157142857142857,5.135714285714286,5.078571428571428,4.9923076923076914
1989-07-01,5.8428571428571425,4.2,4.314285714285715,4.307142857142857,4.307142857142858,4.35
1989-10-01,3.0266666666666664,4.0375,4.1499999999999995,4.125,4.175,4.2437499999999995
1990-01-01,4.0,4.869230769230769,4.315384615384615,4.361538461538462,4.546153846153846,4.615384615384615
1990-04-01,7.042222222222222,4.043333333333333,3.9633333333333334,3.9311111111111106,4.204444444444444,4.487777777777778
1990-07-01,3.673846153846154,5.553846153846154,4.676153846153847,4.446923076923077,3.870769230769231,4.015833333333334
1990-10-01,6.426666666666668,7.596666666666666,5.346666666666667,4.29,4.316666666666666,4.323333333333333
1991-01-01,6.868285714285714,3.8645714285714283,3.1328571428571426,3.567428571428571,3.6602857142857146,3.8213333333333335
1991-04-01,3.4532499999999997,2.912,3.66125,3.78275,3.938648648648649,3.852702702702703
1991-07-01,2.108787878787879,3.2187878787878788,3.625151515151515,3.8472727272727276,3.768181818181818,3.8853125000000004
1991-10-01,3.0051282051282047,3.2384615384615385,3.46025641025641,3.4807692307692313,3.669230769230769,3.738461538461538
1992-01-01,3.18974358974359,2.994871794871795,3.074358974358974,3.341025641025641,3.4743589743589745,3.541176470588235
1992-04-01,3.357575757575758,3.126470588235294,3.2564705882352936,3.495588235294118,3.6790624999999997,3.8637500000000005
1992-07-01,2.7571428571428562,3.048571428571428,3.2685714285714282,3.26,3.34,3.4285714285714284
1992-10-01,2.6,3.130769230769231,3.158974358974359,3.258974358974359,3.3641025641025637,3.42051282051282
1993-01-01,2.921875,3.0281249999999997,3.1,3.290625,3.3031249999999996,3.448620689655172
1993-04-01,3.951428571428572,3.3142857142857145,3.2457142857142856,3.354285714285714,3.6124999999999994,3.5875000000000004
1993-07-01,2.2,2.6276470588235297,3.291764705882353,3.3236363636363633,3.334242424242424,3.336451612903226
1993-10-01,1.2147058823529413,3.005,3.0850000000000004,3.043030303030303,3.073529411764706,3.158235294117647
1994-01-01,2.8964285714285722,2.9553571428571423,3.041071428571428,3.1392857142857147,3.1821428571428574,3.2722222222222226
1994-04-01,2.099999999999999,3.1617647058823533,3.158823529411765,3.335294117647059,3.375757575757576,3.3848484848484848
1994-07-01,2.8172413793103446,3.2551724137931037,3.3431034482758615,3.332758620689656,3.3137931034482766,3.4053571428571425
1994-10-01,3.6142857142857134,3.2107142857142854,3.435714285714286,3.4028571428571435,3.45,3.514285714285715
1995-01-01,2.3071428571428565,3.2035714285714287,3.2778571428571435,3.416071428571428,3.537499999999999,3.5812500000000003
1995-04-01,3.0980392156862746,3.4174509803921573,3.419803921568628,3.4772549019607846,3.5705882352941183,3.607843137254902
1995-07-01,3.3820000000000006,2.914285714285714,3.2183673469387752,3.3083333333333336,3.360416666666666,3.3810638297872346
1995-10-01,2.011111111111111,2.591111111111111,2.926666666666667,2.938888888888889,2.997777777777778,3.0444444444444443
1996-01-01,1.9297297297297296,2.768378378378378,2.6548648648648645,2.7294594594594592,2.7970270270270268,2.840606060606061
1996-04-01,3.1999999999999997,3.4658536585365853,2.8121951219512193,2.81219512195122,2.9317073170731707,3.0073170731707317
1996-07-01,3.8000000000000003,2.7785365853658535,2.9697560975609756,3.156341463414634,3.196,3.174615384615384
1996-10-01,2.3216216216216212,2.891891891891892,3.081081081081081,3.062162162162162,3.0351351351351354,3.0783783783783782
1997-01-01,3.1891891891891895,2.972222222222222,2.9567567567567563,3.016216216216216,3.0891891891891894,3.1676470588235297
1997-04-01,2.4025,2.3965,2.8592500000000003,3.0477499999999997,3.0995,3.0974358974358975
1997-07-01,1.0971428571428572,2.226571428571429,2.8148571428571425,2.7382857142857144,2.8745714285714286,2.9285294117647056
1997-10-01,2.0,2.483243243243243,2.5278378378378377,2.597837837837838,2.7208108108108116,2.7391891891891893
1998-01-01,2.1064516129032262,1.765483870967742,2.034838709677419,2.2519354838709678,2.39258064516129,2.4882142857142857
1998-04-01,0.5,1.6739285714285717,2.2925000000000004,2.3760714285714286,2.423333333333334,2.4877777777777776
1998-07-01,2.0,2.0543333333333336,2.3040000000000003,2.4,2.475666666666667,2.5313333333333334
1998-10-01,1.7942424242424242,1.9280645161290322,2.1465625,2.261875,2.3284374999999997,2.37875
1999-01-01,1.903125,1.931875,2.0646875,2.1571875,2.2621875,2.3076666666666665
1999-04-01,1.5,2.722,2.1745714285714284,2.202571428571429,2.2180000000000004,2.237428571428572
1999-07-01,3.5166666666666666,2.3202777777777777,2.415,2.345277777777778,2.428055555555556,2.462222222222222
1999-10-01,2.6025,2.6149999999999998,2.4475,2.4512500000000004,2.435,2.5174999999999996
2000-01-01,2.900000000000001,2.557352941176471,2.504411764705882,2.4308823529411767,2.451470588235294,2.4433333333333334
2000-04-01,4.0,3.3759375,2.5784375,2.656875,2.795,2.854666666666667
2000-07-01,3.6000000000000005,2.8249999999999997,2.6964285714285716,2.710714285714286,2.5928571428571425,2.6222222222222222
2000-10-01,3.0999999999999996,3.057575757575757,2.7939393939393944,2.6393939393939396,2.5909090909090904,2.584848484848485
2001-01-01,2.7030303030303036,2.6060606060606064,2.4666666666666663,2.436363636363636,2.4878787878787887,2.5281249999999997
2001-04-01,4.199999999999999,2.9066666666666667,2.493333333333333,2.413333333333333,2.5833333333333335,2.4733333333333336
2001-07-01,3.1,2.293939393939394,2.4242424242424243,2.56969696969697,2.6121212121212123,2.6333333333333333
2001-10-01,0.6999999999999997,1.5620689655172415,2.0172413793103448,2.055172413793103,2.142857142857143,2.3642857142857143
2002-01-01,-0.4,1.4026363636363637,1.994878787878788,2.1173939393939394,2.284666666666666,2.363969696969697
2002-04-01,1.3977222222222219,2.961222222222222,2.1664444444444446,2.2035277777777775,2.442,2.4976
2002-07-01,3.400000000000001,2.152941176470588,2.158823529411765,2.317647058823529,2.3529411764705883,2.3757575757575755
2002-10-01,1.8999999999999997,2.1843749999999997,2.2421875,2.104375,2.2250000000000005,2.265625
2003-01-01,2.400000000000001,2.507567567567567,1.9832432432432432,1.8921621621621623,2.2162162162162162,2.2486486486486488
2003-04-01,3.896875,1.81875,1.6415625000000003,1.9596875,2.1446875,2.1971875
2003-07-01,0.6035714285714285,1.65,1.5535714285714286,1.9571428571428573,1.882142857142857,2.096428571428571
