fdat,FR0,FR1,FR2,FR3,FR4,CPI10mn,CPI10mntr,dCPI10mn,CPI10md,CPI10q25,CPI10q75,CPI10Cmn,CPI10Cmntr,CPI10Cmd,dCPI10Cmn,dCPI10Cmd,rhob,rat1,rat2,FR0shift,FR0shift_2
1993-04-01,0.8818181818181816,0.1454545454545456,-0.031818181818181863,0.05909090909090904,0.09045454545454552,3.8757575757575755,3.7275862068965515,0.3241446725317694,3.7,3.4,4.0,3.8757575757575755,3.7275862068965515,3.7,0.29130434782608694,0.09999999999999964,0.7083112717450526,0.20660641406395885,0.2916887282549474,0.1656259694558207,0.04151371312281917
1993-07-01,-1.045833333333333,-0.6108333333333335,-0.036666666666666625,-0.16750000000000007,-0.1695833333333334,3.3344117647058824,3.3073333333333332,-0.5413458110516931,3.45,3.0,3.5,3.3344117647058824,3.3073333333333332,3.45,-0.3011538461538461,-0.2999999999999998,0.776853410394292,0.17335218915304973,0.223146589605708,-0.21607587470855688,-0.06302689710031431
1993-10-01,-1.3350000000000002,-0.23124999999999996,-0.1620833333333332,-0.32958333333333334,-0.37625000000000003,3.55625,3.439285714285714,0.2218382352941175,3.45,3.0,3.8,3.55625,3.439285714285714,3.45,0.00519999999999996,0.0,0.7487655102557609,0.18811572090719092,0.2512344897442391,-0.23142517251932143,-0.05164173799659919
1994-01-01,-0.15318181818181825,-0.13818181818181824,-0.06681818181818179,0.09090909090909093,0.019090909090909117,3.338461538461538,3.345833333333333,-0.21778846153846176,3.45,3.1,3.5,3.338461538461538,3.345833333333333,3.45,-0.004545454545454509,0.0,0.7763406509924616,0.1736358446090625,0.22365934900753837,-0.028815908157146988,-0.0072395499823776814
1994-04-01,-0.8179999999999998,0.21,0.13200000000000003,0.23200000000000004,0.16599999999999998,3.456666666666666,3.4269230769230767,0.11820512820512796,3.5,3.05,3.6750000000000003,3.456666666666666,3.4269230769230767,3.5,-0.009090909090909078,0.0,0.7613741875580317,0.1816835340783789,0.23862581244196834,-0.1420341208902131,-0.03176725901516307
1994-07-01,-0.36250000000000027,0.016666666666666653,-0.02708333333333331,-0.08541666666666665,-0.11666666666666675,3.4038461538461537,3.375,-0.052820512820512366,3.5,3.0,3.775,3.4038461538461537,3.375,3.5,-0.10999999999999999,-0.04999999999999982,0.7680620215439158,0.17814275260578924,0.23193797845608422,-0.0658602811034124,-0.0157159630859582
1994-10-01,0.39500000000000013,-0.13000000000000003,0.04999999999999995,0.039999999999999994,-4.4408920985006264e-17,3.488461538461538,3.454166666666666,0.08461538461538431,3.5,3.05,3.775,3.488461538461538,3.454166666666666,3.5,0.05294117647058823,0.0,0.7573485010810918,0.18377174899131532,0.24265149891890825,0.07036638727928678,0.016320637616815695
1995-01-01,-0.9894736842105265,-0.23157894736842108,-0.16315789473684209,-0.04473684210526314,0.007894736842105189,3.3642857142857143,3.329166666666667,-0.12417582417582373,3.3,3.0,3.5,3.3642857142857143,3.329166666666667,3.3,-0.07000000000000002,0.0,0.7730709402018595,0.17543226161727246,0.2269290597981405,-0.1818373095282489,-0.04412309571641107
1995-04-01,-0.13636363636363627,0.08227272727272728,0.029999999999999926,-0.02772727272727268,0.05227272727272725,3.364444444444444,3.3564102564102565,0.0001587301587298029,3.35,3.0,3.7,3.364444444444444,3.3564102564102565,3.35,-0.0023809523809523512,0.0,0.7730508426887257,0.17544323730697678,0.2269491573112743,-0.023922581129628046,-0.0054287288436912304
1995-07-01,-0.08756097560975618,-0.531951219512195,-0.2985365853658537,-0.2902439024390244,-0.2804878048780488,3.21595744680851,3.2060975609756093,-0.14848699763593398,3.2,3.0,3.5,3.21595744680851,3.2060975609756093,3.2,-0.16714285714285712,0.0,0.7918514248153318,0.16482274583326076,0.20814857518466823,-0.01536198102273286,-0.00348638864774101
