fdat,CPI1,CPI2,CPI3,CPI4,CPI5,CPI6
1981-10-01,,,,,,
1982-01-01,6.511111111111112,5.761111111111112,6.188888888888889,6.627777777777778,6.205555555555555,6.455555555555556
1982-04-01,3.080952380952381,3.504761904761905,5.619047619047619,5.666666666666667,5.738095238095239,5.504761904761905
1982-07-01,5.338888888888888,7.650000000000001,5.805555555555555,6.066666666666666,6.105555555555555,6.000000000000001
1982-10-01,7.42,3.9200000000000004,5.19,5.655,5.59,5.655
1983-01-01,1.4500000000000002,2.825,4.3,4.6625,4.9,4.61875
1983-04-01,-0.2454545454545455,3.4590909090909094,4.20909090909091,4.463636363636364,4.349999999999999,4.500000000000001
1983-07-01,3.7000000000000006,4.061111111111111,4.3500000000000005,4.205555555555556,4.333333333333333,4.333333333333333
1983-10-01,4.415000000000001,4.85,4.725,4.694999999999999,4.895,5.1
1984-01-01,3.713333333333333,3.8466666666666662,4.306666666666667,4.786666666666667,4.826666666666666,4.779999999999999
1984-04-01,4.133333333333334,4.033333333333333,4.3999999999999995,4.705555555555556,4.966666666666667,5.061111111111111
1984-07-01,3.7777777777777777,3.716666666666667,4.55,4.955555555555556,5.1611111111111105,5.288888888888888
1984-10-01,3.6538461538461537,3.638461538461539,4.030769230769231,4.015384615384615,4.292307692307692,4.384615384615384
1985-01-01,3.269230769230769,3.284615384615385,3.5923076923076924,3.8923076923076922,4.115384615384615,4.415384615384615
1985-04-01,3.266666666666667,4.066666666666666,4.073333333333333,4.2333333333333325,4.44,4.5600000000000005
1985-07-01,4.2125,3.43125,3.95625,4.39375,4.56875,4.58125
1985-10-01,2.568421052631579,3.226315789473684,3.6052631578947367,3.7789473684210524,4.005263157894737,4.178947368421053
1986-01-01,3.947368421052631,3.005263157894737,2.9999999999999996,3.3684210526315788,3.742105263157895,4.231578947368421
1986-04-01,1.4266666666666667,-0.1,2.5,3.2933333333333334,3.646666666666667,3.619999999999999
1986-07-01,-0.7357142857142858,2.7714285714285714,3.307142857142857,3.371428571428571,3.492857142857143,3.7142857142857144
1986-10-01,2.8000000000000003,3.2214285714285715,3.435714285714286,3.564285714285714,3.8285714285714283,4.071428571428571
1987-01-01,2.7384615384615385,3.5076923076923077,3.730769230769231,3.9384615384615387,4.123076923076923,4.015384615384615
1987-04-01,4.499999999999999,4.322222222222222,4.216666666666666,4.2555555555555555,4.25,4.35
1987-07-01,4.677777777777779,4.2333333333333325,4.427777777777778,4.616666666666666,4.688888888888889,4.661111111111111
1987-10-01,4.091666666666667,4.183333333333334,4.291666666666667,4.191666666666667,4.333333333333333,4.558333333333333
1988-01-01,3.59,3.81,3.96,4.1899999999999995,4.39,4.7
1988-04-01,3.192857142857143,4.192857142857142,4.507142857142858,4.635714285714286,4.9071428571428575,4.928571428571429
1988-07-01,4.669230769230769,4.8076923076923075,5.076923076923078,5.084615384615384,5.161538461538461,5.092307692307693
1988-10-01,5.036363636363636,4.981818181818182,4.8909090909090915,4.963636363636364,4.954545454545454,5.1
1989-01-01,4.239999999999999,4.59,4.76,4.839999999999999,4.91,5.01
1989-04-01,5.23,5.88,5.249999999999999,5.17,5.089999999999999,4.96
1989-07-01,5.888888888888889,3.755555555555556,3.988888888888889,4.011111111111111,4.0777777777777775,4.166666666666667
1989-10-01,3.1545454545454543,4.2272727272727275,4.254545454545454,4.309090909090909,4.3545454545454545,4.427272727272727
1990-01-01,4.025,4.8125,4.449999999999999,4.4875,4.7,4.800000000000001
1990-04-01,6.723333333333334,3.715,4.06,4.406666666666666,4.7683333333333335,4.548333333333333
1990-07-01,3.412857142857143,4.878571428571429,4.101428571428571,4.407142857142857,3.8285714285714283,4.198571428571428
1990-10-01,6.369999999999999,7.74,5.36,4.1,4.08,4.16
1991-01-01,6.9768421052631595,3.9852631578947366,3.2157894736842105,3.715789473684211,3.882105263157895,3.9226315789473687
1991-04-01,3.4550000000000005,2.7492307692307696,3.543846153846154,3.7088461538461535,3.9111538461538453,3.833076923076923
1991-07-01,2.1116,3.1727999999999996,3.6012,3.8623999999999996,3.818,3.9852000000000003
1991-10-01,3.0066666666666664,3.296666666666667,3.495,3.5083333333333333,3.74,3.7933333333333343
1992-01-01,3.1875,3.01875,3.128125,3.378125,3.5,3.528125
1992-04-01,3.3518518518518516,3.2111111111111112,3.359259259259259,3.5999999999999996,3.744444444444445,3.840740740740741
1992-07-01,2.7461538461538457,3.073076923076923,3.253846153846154,3.3538461538461535,3.411538461538462,3.519230769230769
1992-10-01,2.6,3.146875,3.16875,3.2718749999999996,3.3843750000000004,3.440625
1993-01-01,2.9178571428571436,3.0249999999999995,3.1071428571428577,3.2785714285714285,3.3035714285714284,3.453928571428571
1993-04-01,3.963636363636364,3.272727272727273,3.268181818181819,3.4045454545454548,3.581818181818181,3.622727272727273
1993-07-01,2.2,2.5475,3.2674999999999996,3.3408333333333338,3.3345833333333332,3.43875
1993-10-01,1.2,2.982083333333333,3.082916666666667,2.9883333333333333,2.975,3.061666666666667
1994-01-01,2.8999999999999995,2.965909090909091,2.9704545454545452,3.1090909090909093,3.159090909090909,3.1931818181818183
1994-04-01,2.1,3.208,3.244,3.384,3.4160000000000004,3.424
1994-07-01,2.820833333333333,3.25,3.38125,3.3729166666666663,3.329166666666667,3.4270833333333335
1994-10-01,3.6199999999999997,3.2299999999999995,3.37,3.3549999999999995,3.3999999999999995,3.4550000000000005
1995-01-01,2.3052631578947365,3.1999999999999997,3.262105263157894,3.4289473684210527,3.5657894736842106,3.6026315789473684
1995-04-01,3.0954545454545452,3.4268181818181818,3.49590909090909,3.556363636363636,3.636363636363636,3.6999999999999997
1995-07-01,3.385365853658536,2.9390243902439024,3.231707317073171,3.321951219512195,3.3804878048780487,3.427073170731708
1995-10-01,2.0128205128205128,2.5897435897435894,2.948717948717949,2.953846153846154,3.0102564102564107,3.048717948717949
1996-01-01,1.9413793103448271,2.7975862068965522,2.683793103448276,2.761724137931034,2.7858620689655176,2.8186206896551727
1996-04-01,3.2000000000000006,3.496153846153846,2.8499999999999996,2.8076923076923075,2.9499999999999997,3.103846153846154
1996-07-01,3.799999999999999,2.7064516129032254,2.887096774193548,3.0774193548387094,3.125806451612903,3.1
1996-10-01,2.3034482758620682,2.865517241379311,3.079310344827586,3.051724137931035,3.0068965517241386,3.0482758620689654
1997-01-01,3.188888888888889,2.92962962962963,2.925925925925926,3.0148148148148146,3.0814814814814815,3.144444444444444
1997-04-01,2.3925925925925924,2.4651851851851854,2.93962962962963,3.1077777777777773,3.1696296296296294,3.140740740740741
1997-07-01,1.0965517241379312,2.2010344827586206,2.8179310344827586,2.742758620689655,2.8900000000000006,2.9196551724137927
1997-10-01,2.0,2.513214285714285,2.5475,2.6221428571428573,2.756071428571429,2.783928571428572
1998-01-01,2.107692307692308,1.7434615384615384,2.0184615384615388,2.2503846153846156,2.3796153846153847,2.4796153846153848
1998-04-01,0.5,1.582222222222222,2.2416666666666667,2.3872222222222224,2.365,2.4094444444444445
1998-07-01,2.0,2.0252380952380955,2.310476190476191,2.3976190476190475,2.4714285714285715,2.525714285714286
1998-10-01,1.7959090909090905,1.9395454545454542,2.1177272727272727,2.230909090909091,2.286818181818182,2.3281818181818186
1999-01-01,1.9043478260869562,1.9269565217391305,2.0813043478260873,2.2143478260869567,2.299565217391304,2.3230434782608698
1999-04-01,1.5,2.931904761904762,2.205238095238095,2.19952380952381,2.2061904761904763,2.262380952380952
1999-07-01,3.5214285714285714,2.2689285714285714,2.3299999999999996,2.301071428571429,2.3432142857142857,2.412142857142857
1999-10-01,2.599999999999999,2.517857142857143,2.3999999999999995,2.4142857142857146,2.4285714285714284,2.5285714285714285
2000-01-01,2.9,2.5354166666666664,2.5395833333333333,2.4562500000000003,2.44375,2.408333333333333
2000-04-01,4.0,3.5574999999999997,2.6525,2.71,2.8600000000000003,2.9175
2000-07-01,3.599999999999999,2.8333333333333335,2.7047619047619045,2.719047619047619,2.5857142857142854,2.623809523809524
2000-10-01,3.1,3.029166666666667,2.8166666666666664,2.65,2.6166666666666667,2.591666666666667
2001-01-01,2.7000000000000006,2.644,2.48,2.476,2.536,2.536
2001-04-01,4.200000000000001,2.9730769230769236,2.411538461538462,2.338461538461538,2.5384615384615383,2.396153846153846
2001-07-01,3.1,2.2708333333333335,2.4916666666666667,2.608333333333333,2.6374999999999997,2.6
2001-10-01,0.6999999999999997,1.4130434782608696,1.9956521739130435,2.034782608695652,2.1695652173913045,2.330434782608696
2002-01-01,-0.4000000000000001,1.3714285714285714,2.0309523809523813,2.161904761904762,2.3619047619047615,2.4095238095238094
2002-04-01,1.398633333333333,2.9510333333333336,2.205833333333333,2.2421666666666664,2.4197333333333337,2.470066666666667
2002-07-01,3.400000000000001,2.168965517241379,2.1862068965517243,2.320689655172414,2.3689655172413797,2.382758620689655
