model,intercept,slope,nobs,r_squared
dCPI10mn ~ FR0,-0.016891979988192786,0.037963213845331654,132,0.17128373170713984
dCPI10mn ~ FR0shift,-0.014926762743855303,0.3858074062350597,132,0.200567159270726
dCPI10mn ~ FR0shift_2,-0.010618774861635557,3.0882975724481025,132,0.25430837313652044
