ltfdat,CPI10mn,CPI10mntr,dCPI10mn,CPI10md,CPI10q25,CPI10q75,CPI10Cmn,CPI10Cmntr,CPI10Cmd,dCPI10Cmn,dCPI10Cmd
1991-10-01,3.897638888888889,3.88953125,,4.0,3.5,4.5,3.897638888888889,3.88953125,4.0,,
1992-01-01,3.783333333333333,3.703125,-0.11430555555555566,3.7,3.475,4.0,3.783333333333333,3.703125,3.7,-0.18015625000000002,-0.19999999999999996
1992-04-01,4.019444444444444,3.95,0.23611111111111072,3.9,3.5,4.5,4.019444444444444,3.95,3.9,0.17741935483870971,0.10000000000000009
1992-07-01,3.764705882352941,3.716666666666667,-0.2547385620915028,3.75,3.25,4.0,3.764705882352941,3.716666666666667,3.75,-0.23214285714285715,-0.20000000000000018
1992-10-01,3.644117647058824,3.6166666666666667,-0.12058823529411722,3.6,3.0,4.0,3.644117647058824,3.6166666666666667,3.6,-0.08275862068965519,0.0
1993-01-01,3.551612903225806,3.5185185185185186,-0.09250474383301777,3.5,3.0,4.0,3.551612903225806,3.5185185185185186,3.5,-0.05384615384615381,0.0
1993-04-01,3.8757575757575755,3.7275862068965515,0.3241446725317694,3.7,3.4,4.0,3.8757575757575755,3.7275862068965515,3.7,0.29130434782608694,0.09999999999999964
1993-07-01,3.3344117647058824,3.3073333333333332,-0.5413458110516931,3.45,3.0,3.5,3.3344117647058824,3.3073333333333332,3.45,-0.3011538461538461,-0.2999999999999998
1993-10-01,3.55625,3.439285714285714,0.2218382352941175,3.45,3.0,3.8,3.55625,3.439285714285714,3.45,0.00519999999999996,0.0
1994-01-01,3.338461538461538,3.345833333333333,-0.21778846153846176,3.45,3.1,3.5,3.338461538461538,3.345833333333333,3.45,-0.004545454545454509,0.0
1994-04-01,3.456666666666666,3.4269230769230767,0.11820512820512796,3.5,3.05,3.6750000000000003,3.456666666666666,3.4269230769230767,3.5,-0.009090909090909078,0.0
1994-07-01,3.4038461538461537,3.375,-0.052820512820512366,3.5,3.0,3.775,3.4038461538461537,3.375,3.5,-0.10999999999999999,-0.04999999999999982
1994-10-01,3.488461538461538,3.454166666666666,0.08461538461538431,3.5,3.05,3.775,3.488461538461538,3.454166666666666,3.5,0.05294117647058823,0.0
1995-01-01,3.3642857142857143,3.329166666666667,-0.12417582417582373,3.3,3.0,3.5,3.3642857142857143,3.329166666666667,3.3,-0.07000000000000002,0.0
1995-04-01,3.364444444444444,3.3564102564102565,0.0001587301587298029,3.35,3.0,3.7,3.364444444444444,3.3564102564102565,3.35,-0.0023809523809523512,0.0
1995-07-01,3.21595744680851,3.2060975609756093,-0.14848699763593398,3.2,3.0,3.5,3.21595744680851,3.2060975609756093,3.2,-0.16714285714285712,0.0
1995-10-01,3.025,3.0166666666666666,-0.19095744680851023,3.0,2.7125000000000004,3.2,3.025,3.0166666666666666,3.0,-0.1676470588235294,-0.02499999999999991
1996-01-01,2.9994736842105265,2.97,-0.025526315789473397,3.0,2.7,3.1500000000000004,2.9994736842105265,2.97,3.0,-0.07322580645161293,0.0
1996-04-01,3.0513513513513515,3.0424242424242425,0.05187766714082498,3.0,2.8,3.3,3.0513513513513515,3.0424242424242425,3.0,0.11857142857142856,0.0
1996-07-01,3.0337500000000004,3.0161764705882357,-0.017601351351351102,3.0,2.8,3.3125,3.0337500000000004,3.0161764705882357,3.0,-0.09107142857142855,0.0
1996-10-01,2.9953125000000003,2.9696428571428575,-0.038437500000000124,3.0,2.6750000000000003,3.2125000000000004,2.9953125000000003,2.9696428571428575,3.0,-0.07884615384615384,0.0
1997-01-01,2.9325,2.9178125,-0.06281250000000016,3.0,2.5,3.2625,2.9325,2.9178125,3.0,-0.08444444444444447,0.0
1997-04-01,2.886111111111111,2.875,-0.046388888888889035,2.8499999999999996,2.5,3.2,2.886111111111111,2.875,2.8499999999999996,-0.0506666666666667,0.0
1997-07-01,2.8878787878787877,2.8810344827586207,0.0017676767676766403,3.0,2.5,3.1,2.8878787878787877,2.8810344827586207,3.0,-0.08333333333333333,0.0
1997-10-01,2.708333333333333,2.703125,-0.17954545454545467,2.6500000000000004,2.5,3.0,2.708333333333333,2.703125,2.6500000000000004,-0.09814814814814812,0.0
1998-01-01,2.6177419354838714,2.6074074074074076,-0.09059139784946169,2.6,2.3,3.0,2.6177419354838714,2.6074074074074076,2.6,-0.10178571428571428,0.0
1998-04-01,2.435185185185185,2.443478260869565,-0.18255675029868623,2.5,2.1500000000000004,2.5,2.435185185185185,2.443478260869565,2.5,-0.07500000000000004,0.0
1998-07-01,2.5900000000000003,2.5846153846153848,0.15481481481481518,2.5,2.4,2.8,2.5900000000000003,2.5846153846153848,2.5,0.06842105263157892,0.0
1998-10-01,2.5300000000000002,2.503846153846154,-0.06000000000000005,2.5,2.2125000000000004,2.875,2.5300000000000002,2.503846153846154,2.5,-0.1166666666666667,-0.09999999999999964
1999-01-01,2.379032258064516,2.3425925925925926,-0.15096774193548423,2.3,2.0,2.5,2.379032258064516,2.3425925925925926,2.3,-0.1386363636363636,-0.050000000000000044
1999-04-01,2.4338235294117645,2.435,0.05479127134724848,2.5,2.2,2.575,2.4338235294117645,2.435,2.5,0.023809523809523808,0.0
1999-07-01,2.5042857142857144,2.5016129032258068,0.07046218487394995,2.5,2.3,2.6,2.5042857142857144,2.5016129032258068,2.5,0.08518518518518521,0.0
1999-10-01,2.405,2.3970588235294117,-0.09928571428571464,2.5,2.2,2.5,2.405,2.3970588235294117,2.5,-0.05185185185185185,0.0
2000-01-01,2.505882352941176,2.5,0.1008823529411762,2.5,2.3499999999999996,2.6,2.505882352941176,2.5,2.5,0.017857142857142825,0.0
2000-04-01,2.676666666666667,2.623076923076923,0.1707843137254912,2.5,2.5,2.8,2.676666666666667,2.623076923076923,2.5,0.09130434782608696,0.0
2000-07-01,2.5306451612903222,2.505555555555556,-0.14602150537634495,2.5,2.2,2.725,2.5306451612903222,2.505555555555556,2.5,0.02173913043478263,0.0
2000-10-01,2.581818181818182,2.5689655172413794,0.05117302052785977,2.5,2.3,2.8,2.581818181818182,2.5689655172413794,2.5,0.04629629629629628,0.0
2001-01-01,2.525,2.5216666666666665,-0.0568181818181821,2.5,2.3249999999999997,2.7375,2.525,2.5216666666666665,2.5,-0.03214285714285712,0.0
2001-04-01,2.6120689655172415,2.59,0.08706896551724164,2.5,2.5,2.75,2.6120689655172415,2.59,2.5,0.10185185185185185,0.0
2001-07-01,2.5766666666666667,2.576923076923077,-0.03540229885057489,2.5,2.5,2.8,2.5766666666666667,2.576923076923077,2.5,-0.0454545454545455,0.0
2001-10-01,2.5203846153846152,2.53875,-0.05628205128205144,2.55,2.4,2.8,2.5203846153846152,2.53875,2.55,-0.07499999999999998,0.0
2002-01-01,2.589393939393939,2.5810344827586205,0.06900932400932369,2.5,2.35,2.8,2.589393939393939,2.5810344827586205,2.5,0.02894736842105267,0.0
2002-04-01,2.5455882352941175,2.5283333333333338,-0.04380570409982143,2.5,2.4,2.7375,2.5455882352941175,2.5283333333333338,2.5,-0.0285714285714286,0.0
2002-07-01,2.54375,2.5375,-0.0018382352941173075,2.5,2.4,2.7,2.54375,2.5375,2.5,-0.02166666666666665,0.0
2002-10-01,2.3857142857142857,2.3645833333333335,-0.1580357142857145,2.45,2.075,2.525,2.3857142857142857,2.3645833333333335,2.45,-0.08750000000000001,0.0
2003-01-01,2.473529411764706,2.4783333333333335,0.0878151260504203,2.5,2.3,2.6375,2.473529411764706,2.4783333333333335,2.5,0.11363636363636362,0.0
2003-04-01,2.463636363636364,2.45,-0.00989304812834213,2.5,2.2,2.7,2.463636363636364,2.45,2.5,-0.024074074074074053,0.0
2003-07-01,2.459259259259259,2.4630434782608694,-0.004377104377105034,2.5,2.275,2.6500000000000004,2.459259259259259,2.4630434782608694,2.5,0.013636363636363608,0.0
2003-10-01,2.4574193548387098,2.4566666666666666,-0.0018399044205490434,2.5,2.2,2.7,2.4574193548387098,2.4566666666666666,2.5,0.10238095238095238,0.0
2004-01-01,2.42037037037037,2.4391304347826086,-0.03704898446833971,2.5,2.175,2.775,2.42037037037037,2.4391304347826086,2.5,-0.00869565217391309,0.0
2004-04-01,2.5063999999999997,2.513478260869565,0.08602962962962968,2.5,2.3,2.75,2.5063999999999997,2.513478260869565,2.5,0.06388888888888895,0.0
2004-07-01,2.513,2.5283333333333333,0.006600000000000161,2.5,2.3,2.8,2.513,2.5283333333333333,2.5,-0.019444444444444473,0.0
2004-10-01,2.5004,2.511304347826087,-0.012599999999999945,2.5,2.4,2.5,2.5004,2.511304347826087,2.5,0.005882352941176502,0.0
2005-01-01,2.494545454545455,2.4541379310344826,-0.0058545454545448905,2.45,2.3,2.5,2.494545454545455,2.4541379310344826,2.45,-0.040869565217391324,0.0
2005-04-01,2.523111111111111,2.495897435897436,0.028565656565656017,2.5,2.39,2.6,2.523111111111111,2.495897435897436,2.5,0.010000000000000033,0.0
2005-07-01,2.700810810810811,2.597878787878788,0.1776996996997,2.5,2.4,2.7,2.700810810810811,2.597878787878788,2.5,0.017500000000000022,0.0
2005-10-01,2.532903225806452,2.5285185185185184,-0.1679075850043592,2.5,2.3,2.745,2.532903225806452,2.5285185185185184,2.5,0.023703703703703657,0.0
2006-01-01,2.5120408163265306,2.4986046511627906,-0.02086240947992124,2.5,2.3,2.7,2.5120408163265306,2.4986046511627906,2.5,-0.04642857142857142,0.0
2006-04-01,2.5045875,2.4891714285714284,-0.007453316326530679,2.5,2.275,2.7,2.5045875,2.4891714285714284,2.5,-0.010110344827586227,0.0
2006-07-01,2.6344458333333334,2.570319047619048,0.1298583333333334,2.5,2.375,2.7625,2.6344458333333334,2.570319047619048,2.5,-0.023735999999999962,0.0
2006-10-01,2.578913043478261,2.52325,-0.05553278985507237,2.5,2.4,2.6875,2.578913043478261,2.52325,2.5,-0.08299999999999999,0.0
